Datetime_from,MW,Mvah
01-Jul-13 00:00:00,7.6,2.3
01-Jul-13 00:30:00,7.1,2.3
01-Jul-13 01:00:00,6.7,2.2
01-Jul-13 01:30:00,6.3,2.2
01-Jul-13 02:00:00,6.1,2.2
01-Jul-13 02:30:00,5.9,2.2
01-Jul-13 03:00:00,5.7,2.2
01-Jul-13 03:30:00,5.8,2.2
01-Jul-13 04:00:00,5.8,2.2
01-Jul-13 04:30:00,5.9,2.2
01-Jul-13 05:00:00,6.2,2.4
01-Jul-13 05:30:00,6.9,2.6
01-Jul-13 06:00:00,8.3,3.3
01-Jul-13 06:30:00,9.9,3.9
01-Jul-13 07:00:00,11.6,2.2
01-Jul-13 07:30:00,12.9,-0.2
01-Jul-13 08:00:00,13.7,0.1
01-Jul-13 08:30:00,13.8,0.2
01-Jul-13 09:00:00,13.9,0.4
01-Jul-13 09:30:00,13.9,0.4
01-Jul-13 10:00:00,13.6,0.2
01-Jul-13 10:30:00,13.5,0.4
01-Jul-13 11:00:00,13.3,0.3
01-Jul-13 11:30:00,13.3,0.3
01-Jul-13 12:00:00,12.9,0.1
01-Jul-13 12:30:00,12.9,0
01-Jul-13 13:00:00,12.5,-0.1
01-Jul-13 13:30:00,12.6,0
01-Jul-13 14:00:00,12.5,-0.1
01-Jul-13 14:30:00,12.5,0
01-Jul-13 15:00:00,12.3,-0.2
01-Jul-13 15:30:00,12.1,-0.4
01-Jul-13 16:00:00,12.2,-0.7
01-Jul-13 16:30:00,12.3,-0.9
01-Jul-13 17:00:00,12.7,-0.9
01-Jul-13 17:30:00,13.4,-0.9
01-Jul-13 18:00:00,13.9,-1
01-Jul-13 18:30:00,13.7,3.6
01-Jul-13 19:00:00,13.4,3.8
01-Jul-13 19:30:00,13,3.7
01-Jul-13 20:00:00,12.6,3.5
01-Jul-13 20:30:00,12.1,3.4
01-Jul-13 21:00:00,11.7,3.3
01-Jul-13 21:30:00,11,3.1
01-Jul-13 22:00:00,10.1,2.9
01-Jul-13 22:30:00,9.3,2.7
01-Jul-13 23:00:00,9,2.6
01-Jul-13 23:30:00,8.3,2.5
02-Jul-13 00:00:00,7.5,2.4
02-Jul-13 00:30:00,7,2.4
02-Jul-13 01:00:00,6.6,2.3
02-Jul-13 01:30:00,6.4,2.3
02-Jul-13 02:00:00,6.1,2.2
02-Jul-13 02:30:00,5.8,2.2
02-Jul-13 03:00:00,5.8,2.2
02-Jul-13 03:30:00,5.7,2.3
02-Jul-13 04:00:00,5.8,2.3
02-Jul-13 04:30:00,5.9,2.3
02-Jul-13 05:00:00,6.3,2.4
02-Jul-13 05:30:00,7.1,2.8
02-Jul-13 06:00:00,8.4,3.2
02-Jul-13 06:30:00,10,3.8
02-Jul-13 07:00:00,11.5,2
02-Jul-13 07:30:00,12.8,-0.3
02-Jul-13 08:00:00,13.1,0.1
02-Jul-13 08:30:00,13.1,0.1
02-Jul-13 09:00:00,13.1,0.1
02-Jul-13 09:30:00,12.8,0.1
02-Jul-13 10:00:00,12.3,0
02-Jul-13 10:30:00,12.2,0.1
02-Jul-13 11:00:00,11.9,-0.1
02-Jul-13 11:30:00,11.6,-0.1
02-Jul-13 12:00:00,11.3,-0.4
02-Jul-13 12:30:00,11.3,-0.3
02-Jul-13 13:00:00,11.2,-0.3
02-Jul-13 13:30:00,11.2,-0.2
02-Jul-13 14:00:00,11.2,-0.2
02-Jul-13 14:30:00,11.1,-0.3
02-Jul-13 15:00:00,11.1,-0.4
02-Jul-13 15:30:00,11,-0.7
02-Jul-13 16:00:00,10.7,-1.1
02-Jul-13 16:30:00,10.8,-1.2
02-Jul-13 17:00:00,11.7,-1.1
02-Jul-13 17:30:00,12.5,-1.1
02-Jul-13 18:00:00,13.2,-1.1
02-Jul-13 18:30:00,13.1,3.7
02-Jul-13 19:00:00,12.9,3.8
02-Jul-13 19:30:00,12.6,3.7
02-Jul-13 20:00:00,12.4,3.7
02-Jul-13 20:30:00,12,3.5
02-Jul-13 21:00:00,11.5,3.3
02-Jul-13 21:30:00,11.1,3.2
02-Jul-13 22:00:00,10.4,3
02-Jul-13 22:30:00,9.5,2.8
02-Jul-13 23:00:00,9.1,2.5
02-Jul-13 23:30:00,8.2,2.4
03-Jul-13 00:00:00,7.6,2.3
03-Jul-13 00:30:00,7.1,2.2
03-Jul-13 01:00:00,6.6,2.2
03-Jul-13 01:30:00,6.2,2.2
03-Jul-13 02:00:00,6.1,2.3
03-Jul-13 02:30:00,6,2.4
03-Jul-13 03:00:00,5.9,2.4
03-Jul-13 03:30:00,5.9,2.4
03-Jul-13 04:00:00,6,2.4
03-Jul-13 04:30:00,6.1,2.5
03-Jul-13 05:00:00,6.5,2.6
03-Jul-13 05:30:00,7.1,2.7
03-Jul-13 06:00:00,8.5,3.4
03-Jul-13 06:30:00,9.9,3.9
03-Jul-13 07:00:00,11.7,2.4
03-Jul-13 07:30:00,13,-0.2
03-Jul-13 08:00:00,13.6,0.1
03-Jul-13 08:30:00,13.6,0.1
03-Jul-13 09:00:00,13.4,0.2
03-Jul-13 09:30:00,13,0.1
03-Jul-13 10:00:00,12.5,-0.2
03-Jul-13 10:30:00,12.4,0
03-Jul-13 11:00:00,12.2,-0.1
03-Jul-13 11:30:00,12,-0.1
03-Jul-13 12:00:00,11.7,-0.3
03-Jul-13 12:30:00,11.5,-0.4
03-Jul-13 13:00:00,11.4,-0.4
03-Jul-13 13:30:00,11.3,-0.3
03-Jul-13 14:00:00,11.2,-0.3
03-Jul-13 14:30:00,11.2,-0.4
03-Jul-13 15:00:00,11.3,-0.4
03-Jul-13 15:30:00,11.2,-0.6
03-Jul-13 16:00:00,11.2,-1
03-Jul-13 16:30:00,11.5,-1.2
03-Jul-13 17:00:00,12.1,-1
03-Jul-13 17:30:00,13.2,-0.9
03-Jul-13 18:00:00,14,-0.9
03-Jul-13 18:30:00,13.9,3.7
03-Jul-13 19:00:00,13.6,3.9
03-Jul-13 19:30:00,13.3,3.9
03-Jul-13 20:00:00,13.1,3.7
03-Jul-13 20:30:00,12.6,3.5
03-Jul-13 21:00:00,12.1,3.4
03-Jul-13 21:30:00,11.6,3.3
03-Jul-13 22:00:00,10.6,3.1
03-Jul-13 22:30:00,9.9,2.9
03-Jul-13 23:00:00,9.5,2.8
03-Jul-13 23:30:00,8.6,2.5
04-Jul-13 00:00:00,7.9,2.3
04-Jul-13 00:30:00,7.3,2.3
04-Jul-13 01:00:00,6.8,2.1
04-Jul-13 01:30:00,6.5,2.2
04-Jul-13 02:00:00,6.2,2.2
04-Jul-13 02:30:00,6.2,2.2
04-Jul-13 03:00:00,6,2.2
04-Jul-13 03:30:00,5.9,2.3
04-Jul-13 04:00:00,6,2.3
04-Jul-13 04:30:00,6.2,2.4
04-Jul-13 05:00:00,6.6,2.4
04-Jul-13 05:30:00,7.1,2.6
04-Jul-13 06:00:00,8.6,3.3
04-Jul-13 06:30:00,10.2,3.9
04-Jul-13 07:00:00,11.8,1.8
04-Jul-13 07:30:00,13.1,-0.1
04-Jul-13 08:00:00,13.8,0.1
04-Jul-13 08:30:00,13.7,0.1
04-Jul-13 09:00:00,13.8,0.3
04-Jul-13 09:30:00,13.9,0.4
04-Jul-13 10:00:00,13.7,0.3
04-Jul-13 10:30:00,13.9,0.5
04-Jul-13 11:00:00,14.1,0.4
04-Jul-13 11:30:00,13.9,0.4
04-Jul-13 12:00:00,13.6,0.2
04-Jul-13 12:30:00,13.7,0.2
04-Jul-13 13:00:00,13.8,0.3
04-Jul-13 13:30:00,12.8,0.1
04-Jul-13 14:00:00,12.3,0
04-Jul-13 14:30:00,12.2,-0.1
04-Jul-13 15:00:00,12.4,-0.1
04-Jul-13 15:30:00,12.4,-0.1
04-Jul-13 16:00:00,12.1,-0.7
04-Jul-13 16:30:00,12.1,-0.9
04-Jul-13 17:00:00,12.5,-0.9
04-Jul-13 17:30:00,13.7,-0.7
04-Jul-13 18:00:00,14,-0.7
04-Jul-13 18:30:00,13.9,4.1
04-Jul-13 19:00:00,13.7,4.1
04-Jul-13 19:30:00,13.4,3.9
04-Jul-13 20:00:00,13,3.6
04-Jul-13 20:30:00,12.5,3.5
04-Jul-13 21:00:00,12.2,3.3
04-Jul-13 21:30:00,11.4,3.2
04-Jul-13 22:00:00,10.6,3
04-Jul-13 22:30:00,9.8,2.9
04-Jul-13 23:00:00,9.3,2.6
04-Jul-13 23:30:00,8.7,2.6
05-Jul-13 00:00:00,8,2.5
05-Jul-13 00:30:00,7.3,2.3
05-Jul-13 01:00:00,6.9,2.2
05-Jul-13 01:30:00,6.5,2.2
05-Jul-13 02:00:00,6.3,2.2
05-Jul-13 02:30:00,6.1,2.2
05-Jul-13 03:00:00,6,2.2
05-Jul-13 03:30:00,5.9,2.3
05-Jul-13 04:00:00,6.1,2.2
05-Jul-13 04:30:00,6.2,2.3
05-Jul-13 05:00:00,6.7,2.4
05-Jul-13 05:30:00,7.3,2.7
05-Jul-13 06:00:00,8.6,3.2
05-Jul-13 06:30:00,10.1,3.9
05-Jul-13 07:00:00,11.8,1.9
05-Jul-13 07:30:00,13.1,-0.1
05-Jul-13 08:00:00,13.6,0.1
05-Jul-13 08:30:00,13.9,0.2
05-Jul-13 09:00:00,13.6,0.3
05-Jul-13 09:30:00,13.6,0.4
05-Jul-13 10:00:00,13.3,0.3
05-Jul-13 10:30:00,13.2,0.3
05-Jul-13 11:00:00,13,0.2
05-Jul-13 11:30:00,13.2,0.3
05-Jul-13 12:00:00,13.2,0.1
05-Jul-13 12:30:00,13.2,0.1
05-Jul-13 13:00:00,12.8,0.1
05-Jul-13 13:30:00,12.4,-0.1
05-Jul-13 14:00:00,12.3,-0.3
05-Jul-13 14:30:00,12.4,-0.3
05-Jul-13 15:00:00,12.4,-0.4
05-Jul-13 15:30:00,12.2,-0.6
05-Jul-13 16:00:00,12.1,-0.9
05-Jul-13 16:30:00,12.2,-1
05-Jul-13 17:00:00,12.7,-0.9
05-Jul-13 17:30:00,13.5,-0.9
05-Jul-13 18:00:00,13.8,-1
05-Jul-13 18:30:00,13.6,3.7
05-Jul-13 19:00:00,13.3,3.9
05-Jul-13 19:30:00,12.9,3.8
05-Jul-13 20:00:00,12.5,3.7
05-Jul-13 20:30:00,12.2,3.7
05-Jul-13 21:00:00,11.9,3.5
05-Jul-13 21:30:00,11.5,3.4
05-Jul-13 22:00:00,10.9,3.2
05-Jul-13 22:30:00,10.5,3
05-Jul-13 23:00:00,10.3,2.8
05-Jul-13 23:30:00,9.5,2.7
06-Jul-13 00:00:00,8.8,2.6
06-Jul-13 00:30:00,8.1,2.5
06-Jul-13 01:00:00,7.8,2.4
06-Jul-13 01:30:00,7.2,2.3
06-Jul-13 02:00:00,6.7,2.3
06-Jul-13 02:30:00,6.4,2.2
06-Jul-13 03:00:00,6.3,2.2
06-Jul-13 03:30:00,6.2,2.2
06-Jul-13 04:00:00,6.2,2.3
06-Jul-13 04:30:00,6.2,2.3
06-Jul-13 05:00:00,6.4,2.4
06-Jul-13 05:30:00,6.6,2.4
06-Jul-13 06:00:00,7.2,2.6
06-Jul-13 06:30:00,7.7,2.9
06-Jul-13 07:00:00,8.2,3
06-Jul-13 07:30:00,8.9,3.1
06-Jul-13 08:00:00,9.9,3.5
06-Jul-13 08:30:00,10.6,3.6
06-Jul-13 09:00:00,10.8,3.7
06-Jul-13 09:30:00,10.7,3.7
06-Jul-13 10:00:00,10.5,3.7
06-Jul-13 10:30:00,10.4,3.7
06-Jul-13 11:00:00,10.2,3.7
06-Jul-13 11:30:00,10.1,3.6
06-Jul-13 12:00:00,10.1,3.6
06-Jul-13 12:30:00,10.1,3.6
06-Jul-13 13:00:00,9.5,3.3
06-Jul-13 13:30:00,9.3,3
06-Jul-13 14:00:00,9.4,3
06-Jul-13 14:30:00,9.4,3
06-Jul-13 15:00:00,9.3,3
06-Jul-13 15:30:00,9.6,3.1
06-Jul-13 16:00:00,9.9,3.1
06-Jul-13 16:30:00,10.6,3.2
06-Jul-13 17:00:00,11.9,3.7
06-Jul-13 17:30:00,12.7,3.8
06-Jul-13 18:00:00,12.9,3.6
06-Jul-13 18:30:00,12.5,3.6
06-Jul-13 19:00:00,12.2,3.6
06-Jul-13 19:30:00,11.9,3.5
06-Jul-13 20:00:00,11.6,3.4
06-Jul-13 20:30:00,11.3,3.3
06-Jul-13 21:00:00,10.8,3.2
06-Jul-13 21:30:00,10.6,3.1
06-Jul-13 22:00:00,10.1,2.8
06-Jul-13 22:30:00,9.7,2.7
06-Jul-13 23:00:00,9.7,2.6
06-Jul-13 23:30:00,9.3,2.6
07-Jul-13 00:00:00,8.7,2.5
07-Jul-13 00:30:00,8,2.4
07-Jul-13 01:00:00,7.6,2.3
07-Jul-13 01:30:00,7.1,2.3
07-Jul-13 02:00:00,6.6,2.2
07-Jul-13 02:30:00,6.3,2.3
07-Jul-13 03:00:00,6.2,2.3
07-Jul-13 03:30:00,6.1,2.3
07-Jul-13 04:00:00,6,2.3
07-Jul-13 04:30:00,6.1,2.3
07-Jul-13 05:00:00,6.2,2.3
07-Jul-13 05:30:00,6.3,2.4
07-Jul-13 06:00:00,6.7,2.4
07-Jul-13 06:30:00,7,2.5
07-Jul-13 07:00:00,7.4,2.6
07-Jul-13 07:30:00,7.8,2.6
07-Jul-13 08:00:00,8.2,2.6
07-Jul-13 08:30:00,8.9,2.7
07-Jul-13 09:00:00,9.3,2.8
07-Jul-13 09:30:00,9.4,2.9
07-Jul-13 10:00:00,9.4,2.7
07-Jul-13 10:30:00,9.4,2.9
07-Jul-13 11:00:00,9.7,2.9
07-Jul-13 11:30:00,9.2,2.9
07-Jul-13 12:00:00,9.4,2.8
07-Jul-13 12:30:00,9.2,2.8
07-Jul-13 13:00:00,9.3,2.7
07-Jul-13 13:30:00,9.4,2.8
07-Jul-13 14:00:00,9.4,2.8
07-Jul-13 14:30:00,9.2,2.8
07-Jul-13 15:00:00,9.2,2.7
07-Jul-13 15:30:00,9.6,2.8
07-Jul-13 16:00:00,10.5,3
07-Jul-13 16:30:00,11,3.1
07-Jul-13 17:00:00,12.1,3.5
07-Jul-13 17:30:00,13.2,3.7
07-Jul-13 18:00:00,13.7,3.9
07-Jul-13 18:30:00,13.8,3.9
07-Jul-13 19:00:00,13.5,3.8
07-Jul-13 19:30:00,13,3.5
07-Jul-13 20:00:00,12.8,3.4
07-Jul-13 20:30:00,12.6,3.5
07-Jul-13 21:00:00,12.1,3.3
07-Jul-13 21:30:00,11.5,3
07-Jul-13 22:00:00,10.8,2.9
07-Jul-13 22:30:00,10.1,2.8
07-Jul-13 23:00:00,9.6,2.6
07-Jul-13 23:30:00,8.8,2.3
08-Jul-13 00:00:00,8.2,2.2
08-Jul-13 00:30:00,7.5,2.2
08-Jul-13 01:00:00,7.2,2.1
08-Jul-13 01:30:00,6.8,2.1
08-Jul-13 02:00:00,6.6,2.2
08-Jul-13 02:30:00,6.4,2.2
08-Jul-13 03:00:00,6.2,2.1
08-Jul-13 03:30:00,6.2,2.2
08-Jul-13 04:00:00,6.3,2.2
08-Jul-13 04:30:00,6.4,2.2
08-Jul-13 05:00:00,6.9,2.4
08-Jul-13 05:30:00,7.5,2.6
08-Jul-13 06:00:00,8.9,3.2
08-Jul-13 06:30:00,10.7,3.8
08-Jul-13 07:00:00,12.5,2.2
08-Jul-13 07:30:00,13.9,-0.1
08-Jul-13 08:00:00,15,0.5
08-Jul-13 08:30:00,15.1,0.6
08-Jul-13 09:00:00,15,0.8
08-Jul-13 09:30:00,14.8,0.5
08-Jul-13 10:00:00,14.3,0.4
08-Jul-13 10:30:00,13.9,0.4
08-Jul-13 11:00:00,13.6,0.4
08-Jul-13 11:30:00,13.2,0.2
08-Jul-13 12:00:00,12.8,-0.1
08-Jul-13 12:30:00,12.6,-0.1
08-Jul-13 13:00:00,13,0
08-Jul-13 13:30:00,13,0.1
08-Jul-13 14:00:00,13.1,0
08-Jul-13 14:30:00,12.5,-0.2
08-Jul-13 15:00:00,12.5,-0.2
08-Jul-13 15:30:00,12.6,-0.4
08-Jul-13 16:00:00,12.6,-0.6
08-Jul-13 16:30:00,12.6,-1
08-Jul-13 17:00:00,13.2,-0.9
08-Jul-13 17:30:00,14.2,-0.8
08-Jul-13 18:00:00,15,-0.8
08-Jul-13 18:30:00,15,4
08-Jul-13 19:00:00,15,4.1
08-Jul-13 19:30:00,14.8,4
08-Jul-13 20:00:00,14.4,3.8
08-Jul-13 20:30:00,13.9,3.6
08-Jul-13 21:00:00,13.4,3.5
08-Jul-13 21:30:00,12.6,3.3
08-Jul-13 22:00:00,11.5,3
08-Jul-13 22:30:00,10.6,2.8
08-Jul-13 23:00:00,10.3,2.7
08-Jul-13 23:30:00,9.4,2.6
09-Jul-13 00:00:00,8.6,2.5
09-Jul-13 00:30:00,7.9,2.3
09-Jul-13 01:00:00,7.5,2.2
09-Jul-13 01:30:00,7.1,2.2
09-Jul-13 02:00:00,6.9,2.3
09-Jul-13 02:30:00,6.6,2.3
09-Jul-13 03:00:00,6.5,2.3
09-Jul-13 03:30:00,6.4,2.3
09-Jul-13 04:00:00,6.6,2.3
09-Jul-13 04:30:00,6.8,2.3
09-Jul-13 05:00:00,7.2,2.4
09-Jul-13 05:30:00,8,2.6
09-Jul-13 06:00:00,9.5,3.3
09-Jul-13 06:30:00,11.3,4
09-Jul-13 07:00:00,13.2,2.6
09-Jul-13 07:30:00,14.7,0.2
09-Jul-13 08:00:00,15.6,0.6
09-Jul-13 08:30:00,15.8,0.8
09-Jul-13 09:00:00,16,1
09-Jul-13 09:30:00,15.6,0.8
09-Jul-13 10:00:00,15.1,0.6
09-Jul-13 10:30:00,14.5,0.7
09-Jul-13 11:00:00,14.1,0.6
09-Jul-13 11:30:00,13.8,0.4
09-Jul-13 12:00:00,13.5,0.2
09-Jul-13 12:30:00,13.2,0.1
09-Jul-13 13:00:00,13,0.2
09-Jul-13 13:30:00,12.7,0
