Date,MW,Mvar
11/01/2011 00:15,5.46,2.06
11/01/2011 00:30,5.45,2.04
11/01/2011 00:45,5.38,2.05
11/01/2011 01:00,5.13,2
11/01/2011 01:15,4.83,1.89
11/01/2011 01:30,4.61,1.86
11/01/2011 01:45,4.38,1.8
11/01/2011 02:00,4.25,1.79
11/01/2011 02:15,4.26,1.77
11/01/2011 02:30,4.16,1.77
11/01/2011 02:45,4,1.73
11/01/2011 03:00,3.87,1.73
11/01/2011 03:15,3.82,1.71
11/01/2011 03:30,3.72,1.69
11/01/2011 03:45,3.59,1.68
11/01/2011 04:00,3.57,1.72
11/01/2011 04:15,3.53,1.74
11/01/2011 04:30,3.5,1.73
11/01/2011 04:45,3.47,1.71
11/01/2011 05:00,3.51,1.7
11/01/2011 05:15,3.58,1.72
11/01/2011 05:30,3.65,1.76
11/01/2011 05:45,3.73,1.88
11/01/2011 06:00,3.71,1.83
11/01/2011 06:15,3.74,1.83
11/01/2011 06:30,3.78,1.77
11/01/2011 06:45,3.75,1.65
11/01/2011 07:00,3.86,1.61
11/01/2011 07:15,4.06,1.67
11/01/2011 07:30,4.22,1.75
11/01/2011 07:45,4.33,1.7
11/01/2011 08:00,4.59,1.8
11/01/2011 08:15,4.55,1.87
11/01/2011 08:30,4.63,1.98
11/01/2011 08:45,4.85,1.98
11/01/2011 09:00,4.98,2.04
11/01/2011 09:15,5.1,2.16
11/01/2011 09:30,5.21,2.11
11/01/2011 09:45,5.31,2.14
11/01/2011 10:00,5.36,2.15
11/01/2011 10:15,5.53,2.17
11/01/2011 10:30,5.5,2.16
11/01/2011 10:45,5.38,2.14
11/01/2011 11:00,5.42,2.18
11/01/2011 11:15,5.46,2.21
11/01/2011 11:30,5.6,2.25
11/01/2011 11:45,5.57,2.25
11/01/2011 12:00,5.55,2.27
11/01/2011 12:15,5.42,2.24
11/01/2011 12:30,5.44,2.25
11/01/2011 12:45,5.37,2.2
11/01/2011 13:00,5.31,2.18
11/01/2011 13:15,5.27,2.13
11/01/2011 13:30,5.24,2.18
11/01/2011 13:45,5.2,2.16
11/01/2011 14:00,5.19,2.15
11/01/2011 14:15,5.14,2.14
11/01/2011 14:30,5.12,2.14
11/01/2011 14:45,5.08,2.13
11/01/2011 15:00,5.17,2.15
11/01/2011 15:15,5.12,2.18
11/01/2011 15:30,5.05,2.14
11/01/2011 15:45,5.15,2.15
11/01/2011 16:00,5.23,2.15
11/01/2011 16:15,5.19,2.13
11/01/2011 16:30,5.18,2.18
11/01/2011 16:45,5.28,2.2
11/01/2011 17:00,5.34,2.2
11/01/2011 17:15,5.35,2.19
11/01/2011 17:30,5.38,2.23
11/01/2011 17:45,5.39,2.23
11/01/2011 18:00,5.41,2.2
11/01/2011 18:15,5.44,2.18
11/01/2011 18:30,5.58,2.21
11/01/2011 18:45,5.5,2.11
11/01/2011 19:00,5.62,2.1
11/01/2011 19:15,5.72,2.1
11/01/2011 19:30,5.83,2.08
11/01/2011 19:45,6.02,2.18
11/01/2011 20:00,6.2,2.27
11/01/2011 20:15,6.48,2.43
11/01/2011 20:30,6.62,2.45
11/01/2011 20:45,6.6,2.42
11/01/2011 21:00,6.62,2.42
11/01/2011 21:15,6.49,2.31
11/01/2011 21:30,6.29,2.24
11/01/2011 21:45,6.21,2.21
11/01/2011 22:00,6.03,2.15
11/01/2011 22:15,5.89,2.11
11/01/2011 22:30,5.7,2.12
11/01/2011 22:45,5.47,2.1
11/01/2011 23:00,5.22,2.09
11/01/2011 23:15,4.99,2.01
11/01/2011 23:30,4.95,1.96
11/01/2011 23:45,4.88,1.85
11/02/2011 00:00,4.95,1.85
11/02/2011 00:15,5,1.82
11/02/2011 00:30,4.99,1.82
11/02/2011 00:45,4.86,1.8
11/02/2011 01:00,4.67,1.79
11/02/2011 01:15,4.52,1.76
11/02/2011 01:30,4.37,1.74
11/02/2011 01:45,4.14,1.71
11/02/2011 02:00,3.92,1.68
11/02/2011 02:15,4.02,1.66
11/02/2011 02:30,3.93,1.67
11/02/2011 02:45,3.77,1.66
11/02/2011 03:00,3.66,1.63
11/02/2011 03:15,3.56,1.62
11/02/2011 03:30,3.46,1.63
11/02/2011 03:45,3.36,1.61
11/02/2011 04:00,3.3,1.61
11/02/2011 04:15,3.33,1.62
11/02/2011 04:30,3.32,1.61
11/02/2011 04:45,3.32,1.6
11/02/2011 05:00,3.36,1.61
11/02/2011 05:15,3.49,1.66
11/02/2011 05:30,3.67,1.77
11/02/2011 05:45,3.81,1.93
11/02/2011 06:00,3.86,1.85
11/02/2011 06:15,4.19,2.04
11/02/2011 06:30,4.47,2.07
11/02/2011 06:45,4.71,1.99
11/02/2011 07:00,5.06,2.03
11/02/2011 07:15,5.58,2.25
11/02/2011 07:30,6.11,2.43
11/02/2011 07:45,6.32,2.53
11/02/2011 08:00,6.49,2.67
11/02/2011 08:15,6.26,2.81
11/02/2011 08:30,6.12,2.86
11/02/2011 08:45,6.13,3.05
11/02/2011 09:00,6.08,3.1
11/02/2011 09:15,6.21,3.24
11/02/2011 09:30,6.28,3.29
11/02/2011 09:45,6.42,3.35
11/02/2011 10:00,6.46,3.41
11/02/2011 10:15,6.43,3.39
11/02/2011 10:30,6.67,3.49
11/02/2011 10:45,6.7,3.49
11/02/2011 11:00,6.72,3.51
11/02/2011 11:15,6.85,3.51
11/02/2011 11:30,6.85,3.52
11/02/2011 11:45,6.86,3.56
11/02/2011 12:00,6.8,3.53
11/02/2011 12:15,6.81,3.44
11/02/2011 12:30,6.8,3.47
11/02/2011 12:45,6.83,3.5
11/02/2011 13:00,6.89,3.51
11/02/2011 13:15,6.85,3.55
11/02/2011 13:30,6.8,3.56
11/02/2011 13:45,6.83,3.56
11/02/2011 14:00,6.74,3.52
11/02/2011 14:15,6.73,3.52
11/02/2011 14:30,6.75,3.52
11/02/2011 14:45,6.69,3.56
11/02/2011 15:00,6.65,3.55
11/02/2011 15:15,6.55,3.56
11/02/2011 15:30,6.61,3.53
11/02/2011 15:45,6.51,3.43
11/02/2011 16:00,6.49,3.28
11/02/2011 16:15,6.49,3.18
11/02/2011 16:30,6.58,3.17
11/02/2011 16:45,6.43,3.09
11/02/2011 17:00,6.4,3.01
11/02/2011 17:15,6.39,2.93
11/02/2011 17:30,6.43,2.88
11/02/2011 17:45,6.51,2.86
11/02/2011 18:00,6.62,2.83
11/02/2011 18:15,6.68,2.75
11/02/2011 18:30,6.71,2.59
11/02/2011 18:45,6.87,2.61
11/02/2011 19:00,7.27,2.73
11/02/2011 19:15,7.41,2.72
11/02/2011 19:30,7.38,2.7
11/02/2011 19:45,7.45,2.72
11/02/2011 20:00,7.54,2.83
11/02/2011 20:15,7.6,2.83
11/02/2011 20:30,7.6,2.8
11/02/2011 20:45,7.53,2.71
11/02/2011 21:00,7.55,2.7
11/02/2011 21:15,7.54,2.75
11/02/2011 21:30,7.44,2.73
11/02/2011 21:45,7.25,2.62
11/02/2011 22:00,6.99,2.53
11/02/2011 22:15,6.68,2.44
11/02/2011 22:30,6.38,2.44
11/02/2011 22:45,6.01,2.39
11/02/2011 23:00,5.74,2.24
11/02/2011 23:15,5.56,2.2
11/02/2011 23:30,5.52,2.16
11/02/2011 23:45,5.48,2.16
11/03/2011 00:00,5.35,2.09
11/03/2011 00:15,5.37,2.03
11/03/2011 00:30,5.28,1.97
11/03/2011 00:45,5.16,2.01
11/03/2011 01:00,4.91,1.95
11/03/2011 01:15,4.68,1.91
11/03/2011 01:30,4.45,1.9
11/03/2011 01:45,4.31,1.91
11/03/2011 02:00,4.17,1.9
11/03/2011 02:15,4.21,1.81
11/03/2011 02:30,4.06,1.79
11/03/2011 02:45,3.95,1.77
11/03/2011 03:00,3.82,1.76
11/03/2011 03:15,3.85,1.78
11/03/2011 03:30,3.76,1.82
11/03/2011 03:45,3.64,1.77
11/03/2011 04:00,3.63,1.8
11/03/2011 04:15,3.6,1.78
11/03/2011 04:30,3.52,1.76
11/03/2011 04:45,3.54,1.76
11/03/2011 05:00,3.52,1.75
11/03/2011 05:15,3.78,1.83
11/03/2011 05:30,3.83,1.89
11/03/2011 05:45,4.03,2.02
11/03/2011 06:00,4.21,2.07
11/03/2011 06:15,4.44,2.1
11/03/2011 06:30,4.58,2.04
11/03/2011 06:45,4.84,2.03
11/03/2011 07:00,5.31,2.16
11/03/2011 07:15,5.94,2.44
11/03/2011 07:30,6.34,2.5
11/03/2011 07:45,6.58,2.54
11/03/2011 08:00,6.6,2.62
11/03/2011 08:15,6.28,2.84
11/03/2011 08:30,6.16,2.88
11/03/2011 08:45,6.11,2.94
11/03/2011 09:00,6.2,3.07
11/03/2011 09:15,6.35,3.19
11/03/2011 09:30,6.45,3.23
11/03/2011 09:45,6.39,3.26
