Date,MW,Mvar
11/01/2012 00:15,5.14,1.46
11/01/2012 00:30,5.04,1.45
11/01/2012 00:45,4.88,1.43
11/01/2012 01:00,4.71,1.42
11/01/2012 01:15,4.5,1.38
11/01/2012 01:30,4.27,1.35
11/01/2012 01:45,4.1,1.35
11/01/2012 02:00,3.98,1.34
11/01/2012 02:15,3.97,1.29
11/01/2012 02:30,3.89,1.31
11/01/2012 02:45,3.76,1.3
11/01/2012 03:00,3.76,1.33
11/01/2012 03:15,3.7,1.32
11/01/2012 03:30,3.67,1.31
11/01/2012 03:45,3.68,1.31
11/01/2012 04:00,3.67,1.31
11/01/2012 04:15,3.65,1.3
11/01/2012 04:30,3.66,1.3
11/01/2012 04:45,3.66,1.31
11/01/2012 05:00,3.71,1.29
11/01/2012 05:15,3.8,1.36
11/01/2012 05:30,3.97,1.41
11/01/2012 05:45,4.17,1.44
11/01/2012 06:00,4.33,1.46
11/01/2012 06:15,4.47,1.54
11/01/2012 06:30,4.77,1.55
11/01/2012 06:45,5.21,1.56
11/01/2012 07:00,5.68,1.68
11/01/2012 07:15,6.19,1.74
11/01/2012 07:30,6.85,1.91
11/01/2012 07:45,7.17,1.93
11/01/2012 08:00,7.52,2.03
11/01/2012 08:15,7.38,2.05
11/01/2012 08:30,7.35,2.09
11/01/2012 08:45,7.11,2.09
11/01/2012 09:00,6.92,2.14
11/01/2012 09:15,6.86,2.2
11/01/2012 09:30,6.79,2.21
11/01/2012 09:45,6.82,2.25
11/01/2012 10:00,6.96,2.28
11/01/2012 10:15,6.8,2.27
11/01/2012 10:30,6.75,2.27
11/01/2012 10:45,6.63,2.27
11/01/2012 11:00,6.56,2.28
11/01/2012 11:15,6.62,2.28
11/01/2012 11:30,6.7,2.28
11/01/2012 11:45,6.71,2.27
11/01/2012 12:00,6.74,2.33
11/01/2012 12:15,6.87,2.31
11/01/2012 12:30,6.93,2.28
11/01/2012 12:45,6.92,2.25
11/01/2012 13:00,6.98,2.27
11/01/2012 13:15,7.05,2.26
11/01/2012 13:30,6.99,2.25
11/01/2012 13:45,6.93,2.24
11/01/2012 14:00,6.85,2.2
11/01/2012 14:15,6.86,2.2
11/01/2012 14:30,6.98,2.21
11/01/2012 14:45,7.01,2.24
11/01/2012 15:00,6.66,2.24
11/01/2012 15:15,6.65,2.23
11/01/2012 15:30,6.57,2.21
11/01/2012 15:45,6.54,2.25
11/01/2012 16:00,6.5,2.25
11/01/2012 16:15,6.55,2.24
11/01/2012 16:30,6.55,2.17
11/01/2012 16:45,6.58,2.07
11/01/2012 17:00,6.69,2.09
11/01/2012 17:15,6.65,2.08
11/01/2012 17:30,6.72,2
11/01/2012 17:45,6.96,2.11
11/01/2012 18:00,7.08,2.08
11/01/2012 18:15,7.08,1.84
11/01/2012 18:30,7.23,1.84
11/01/2012 18:45,7.46,1.85
11/01/2012 19:00,7.69,1.87
11/01/2012 19:15,7.83,1.87
11/01/2012 19:30,7.9,1.85
11/01/2012 19:45,7.85,1.82
11/01/2012 20:00,7.94,1.82
11/01/2012 20:15,8.09,1.92
11/01/2012 20:30,8.16,1.93
11/01/2012 20:45,8.18,1.9
11/01/2012 21:00,8.09,1.86
11/01/2012 21:15,7.87,1.83
11/01/2012 21:30,7.62,1.7
11/01/2012 21:45,7.49,1.65
11/01/2012 22:00,7.5,1.69
11/01/2012 22:15,7.19,1.65
11/01/2012 22:30,6.76,1.51
11/01/2012 22:45,6.34,1.44
11/01/2012 23:00,6.04,1.41
11/01/2012 23:15,5.84,1.38
11/01/2012 23:30,5.71,1.36
11/01/2012 23:45,5.49,1.34
11/02/2012 00:00,5.43,1.35
11/02/2012 00:15,5.35,1.33
11/02/2012 00:30,5.29,1.29
11/02/2012 00:45,5.13,1.27
11/02/2012 01:00,4.89,1.21
11/02/2012 01:15,4.58,1.14
11/02/2012 01:30,4.37,1.16
