"ts","load_mw","load_mvar"
"2014-01-01 00:00:00",31.225,9.707
"2014-01-01 00:30:00",30.313,9.689
"2014-01-01 01:00:00",28.310,9.506
"2014-01-01 01:30:00",26.651,8.924
"2014-01-01 02:00:00",25.132,8.883
"2014-01-01 02:30:00",23.647,8.695
"2014-01-01 03:00:00",22.675,8.505
"2014-01-01 03:30:00",22.135,8.333
"2014-01-01 04:00:00",21.644,8.406
"2014-01-01 04:30:00",21.556,8.520
"2014-01-01 05:00:00",21.652,8.551
"2014-01-01 05:30:00",21.789,8.659
"2014-01-01 06:00:00",21.938,8.681
"2014-01-01 06:30:00",21.843,8.384
"2014-01-01 07:00:00",22.700,8.557
"2014-01-01 07:30:00",23.214,8.576
"2014-01-01 08:00:00",23.830,8.699
"2014-01-01 08:30:00",24.953,9.051
"2014-01-01 09:00:00",26.077,9.181
"2014-01-01 09:30:00",27.354,9.509
"2014-01-01 10:00:00",28.037,9.854
"2014-01-01 10:30:00",29.124,9.794
"2014-01-01 11:00:00",29.529,10.069
"2014-01-01 11:30:00",30.353,10.538
"2014-01-01 12:00:00",31.090,10.825
"2014-01-01 12:30:00",31.263,10.724
"2014-01-01 13:00:00",31.169,10.922
"2014-01-01 13:30:00",30.929,10.793
"2014-01-01 14:00:00",30.816,10.641
"2014-01-01 14:30:00",30.519,10.466
"2014-01-01 15:00:00",30.657,10.332
"2014-01-01 15:30:00",30.877,10.536
"2014-01-01 16:00:00",31.056,10.632
"2014-01-01 16:30:00",31.811,10.429
"2014-01-01 17:00:00",32.536,10.360
"2014-01-01 17:30:00",33.386,10.400
"2014-01-01 18:00:00",34.027,10.319
"2014-01-01 18:30:00",34.249,10.424
"2014-01-01 19:00:00",33.811,10.188
"2014-01-01 19:30:00",33.440,10.359
"2014-01-01 20:00:00",33.186,10.478
"2014-01-01 20:30:00",33.842,10.987
"2014-01-01 21:00:00",33.642,10.934
"2014-01-01 21:30:00",32.672,10.709
"2014-01-01 22:00:00",31.298,10.440
"2014-01-01 22:30:00",29.797,10.053
"2014-01-01 23:00:00",28.542,9.735
"2014-01-01 23:30:00",27.846,9.235
"2014-01-02 00:00:00",29.018,8.995
"2014-01-02 00:30:00",27.193,8.856
"2014-01-02 01:00:00",24.656,8.765
"2014-01-02 01:30:00",22.994,8.652
"2014-01-02 02:00:00",22.102,8.564
"2014-01-02 02:30:00",21.140,8.391
"2014-01-02 03:00:00",20.743,8.221
"2014-01-02 03:30:00",20.532,8.184
"2014-01-02 04:00:00",20.548,8.022
"2014-01-02 04:30:00",20.597,8.027
"2014-01-02 05:00:00",21.346,8.255
"2014-01-02 05:30:00",22.147,8.322
"2014-01-02 06:00:00",22.731,8.046
"2014-01-02 06:30:00",23.943,8.376
"2014-01-02 07:00:00",26.636,8.824
"2014-01-02 07:30:00",28.429,9.629
"2014-01-02 08:00:00",29.364,10.290
"2014-01-02 08:30:00",31.007,11.154
"2014-01-02 09:00:00",31.931,12.006
"2014-01-02 09:30:00",32.790,12.726
"2014-01-02 10:00:00",33.147,13.130
"2014-01-02 10:30:00",33.995,13.894
"2014-01-02 11:00:00",34.395,14.024
"2014-01-02 11:30:00",34.198,14.277
"2014-01-02 12:00:00",34.111,14.572
"2014-01-02 12:30:00",34.345,14.508
"2014-01-02 13:00:00",34.446,14.577
"2014-01-02 13:30:00",34.167,13.062
"2014-01-02 14:00:00",34.048,9.541
"2014-01-02 14:30:00",34.193,9.473
"2014-01-02 15:00:00",34.295,9.723
"2014-01-02 15:30:00",34.793,9.581
"2014-01-02 16:00:00",35.268,9.162
"2014-01-02 16:30:00",35.373,8.709
"2014-01-02 17:00:00",35.740,8.116
"2014-01-02 17:30:00",36.045,7.445
"2014-01-02 18:00:00",35.937,6.916
"2014-01-02 18:30:00",35.429,9.964
"2014-01-02 19:00:00",34.867,11.099
"2014-01-02 19:30:00",34.185,10.871
"2014-01-02 20:00:00",33.914,10.591
"2014-01-02 20:30:00",34.406,10.881
"2014-01-02 21:00:00",34.604,10.907
"2014-01-02 21:30:00",33.727,10.556
"2014-01-02 22:00:00",32.213,10.480
"2014-01-02 22:30:00",30.542,9.895
"2014-01-02 23:00:00",29.006,9.348
"2014-01-02 23:30:00",28.188,9.162
"2014-01-03 00:00:00",29.299,8.912
"2014-01-03 00:30:00",27.369,8.707
"2014-01-03 01:00:00",24.688,8.667
"2014-01-03 01:30:00",23.005,8.583
"2014-01-03 02:00:00",21.980,8.512
"2014-01-03 02:30:00",21.144,8.474
"2014-01-03 03:00:00",20.744,8.496
"2014-01-03 03:30:00",20.637,8.427
"2014-01-03 04:00:00",20.529,8.389
"2014-01-03 04:30:00",20.894,8.391
"2014-01-03 05:00:00",21.524,8.535
"2014-01-03 05:30:00",22.194,8.650
"2014-01-03 06:00:00",23.022,8.466
"2014-01-03 06:30:00",24.366,8.533
"2014-01-03 07:00:00",27.044,8.047
"2014-01-03 07:30:00",29.042,4.491
"2014-01-03 08:00:00",30.425,5.282
"2014-01-03 08:30:00",31.081,5.810
"2014-01-03 09:00:00",32.279,6.611
"2014-01-03 09:30:00",32.899,7.100
"2014-01-03 10:00:00",33.983,7.819
"2014-01-03 10:30:00",34.703,8.249
"2014-01-03 11:00:00",35.118,8.623
"2014-01-03 11:30:00",34.998,8.860
"2014-01-03 12:00:00",35.293,9.147
"2014-01-03 12:30:00",35.136,9.249
"2014-01-03 13:00:00",35.901,9.402
"2014-01-03 13:30:00",35.787,9.140
"2014-01-03 14:00:00",34.770,9.339
"2014-01-03 14:30:00",34.415,9.468
"2014-01-03 15:00:00",34.094,9.265
"2014-01-03 15:30:00",34.089,9.254
"2014-01-03 16:00:00",34.722,9.106
"2014-01-03 16:30:00",35.396,8.900
"2014-01-03 17:00:00",35.981,8.590
